rank,company,headquarters,state,subtype,industries
252,General Dynamics,"Falls Church, Virginia",Virginia,company,Aerospace & Defense
253,IDEXX Laboratories,"Westbrook, Maine",Maine,company,Drugs & Biotechnology
254,General Electric,"Boston, Massachusetts",Massachusetts,company,"Engineering, Manufacturing"
255,PSEG (Public Service Enterprise Group),"Newark, New York",New York,company,Utilities
256,Rich's Products,"Buffalo, New York",New York,company,"Food, Soft Beverages, Alcohol & Tobacco"
257,NVIDIA,"Santa Clara, California",California,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
258,Visa,"San Francisco, California",California,company,Banking and Financial Services
259,Prudential Financial,"Newark, New Jersey",New Jersey,company,Banking and Financial Services
260,IKEA,"Conshohocken, Pennsylvania",Pennsylvania,company,Retail and Wholesale
261,J. Crew Group,"New York, New York",New York,company,"Clothing, Shoes, Sports Equipment"
262,TDS (Telephone and Data Systems),"Chicago, Illinois",Illinois,company,"Telecommunications Services, Cable Supplier"
263,USI Insurance,"Valhalla, New York",New York,company,Insurance
264,PRA Health Sciences,"Raleigh, North Carolina",North Carolina,company,Drugs & Biotechnology
265,VF,"Greensboro, North Carolina",North Carolina,company,"Clothing, Shoes, Sports Equipment"
266,Arvest Bank,"Lowell, Arkansas",Arkansas,company,Banking and Financial Services
267,Barnes & Noble,"New York, New York",New York,company,Retail and Wholesale
268,County of San Diego,"San Diego, California",California,company,Government Services
269,Air Products & Chemicals,"Allentown, Pennsylvania",Pennsylvania,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
270,Under Armour,"Baltimore, Maryland",Maryland,company,"Clothing, Shoes, Sports Equipment"
271,Xcel Energy,"Minneapolis, Minnesota",Minnesota,company,Utilities
272,CSL,"King of Prussia, Pennsylvania",Pennsylvania,company,Drugs & Biotechnology
273,General Services Administration,"Washington, District of Columbia",District of Columbia,company,Government Services
274,Coca-Cola,"Atlanta, Georgia",Georgia,company,"Food, Soft Beverages, Alcohol & Tobacco"
275,Hy-Vee,"West Des Moines, Iowa",Iowa,company,Retail and Wholesale
276,NBCUniversal Media,"New York, New York",New York,company,Media & Advertising
277,MITRE Corporation,"Bedford, Massachusetts",Massachusetts,company,Professional Services
278,Nestle,"Glendale, California",California,company,"Food, Soft Beverages, Alcohol & Tobacco"
279,Amtrak,"Washington, District of Columbia",District of Columbia,company,Transportation and Logistics
280,United Technologies,"Farmington, Connecticut",Connecticut,company,"Engineering, Manufacturing"
281,U.S. Department of Energy,"Washington, District of Columbia",District of Columbia,company,Government Services
282,Hot Topic,"City of Industry, California",California,company,"Clothing, Shoes, Sports Equipment"
283,Cerner,"North Kansas City, Missouri",Missouri,company,Health Care Equipment & Services
284,Fresno County,"Fresno, California",California,company,Government Services
285,Kiewit Corporation,"Omaha, Nebraska",Nebraska,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
286,Dell,"Hopkinton, Massachusetts",Massachusetts,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
287,H&M,"New York, New York",New York,company,"Clothing, Shoes, Sports Equipment"
288,Lincoln Financial,"Radnor, Pennsylvania",Pennsylvania,company,Banking and Financial Services
289,Federal Reserve System,"Washington, District of Columbia",District of Columbia,company,Government Services
290,Stater Bros,"San Bernardino, California",California,company,Retail and Wholesale
291,Mitsubishi,"Cypress, California",California,company,Automotive (Automotive and Suppliers)
292,Averitt Express,"Cookeville, Tennessee",Tennessee,company,Transportation and Logistics
293,Crete Carrier,"Lincoln, Nebraska",Nebraska,company,Transportation and Logistics
294,Davey Tree Expert,"Kent, Ohio",Ohio,company,Business Services & Supplies
295,City of Philadelphia,"Philadelphia, Pennsylvania",Pennsylvania,company,Government Services
296,Altria Group,"Richmond, Virginia",Virginia,company,"Food, Soft Beverages, Alcohol & Tobacco"
297,Southwire,"Carrollton, Georgia",Georgia,company,"Engineering, Manufacturing"
298,BAE Systems,"Arlington, Washington",Washington,company,Aerospace & Defense
299,Aerotek,"Hanover, Maryland",Maryland,company,Business Services & Supplies
300,JM Smucker,"Orrville, Ohio",Ohio,company,"Food, Soft Beverages, Alcohol & Tobacco"
301,Century 21 Real Estate,"Madison, New Jersey",New Jersey,company,Business Services & Supplies
302,Praxair,"Danbury, Connecticut",Connecticut,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
303,Cargill,"Minneapolis, Minnesota",Minnesota,company,"Food, Soft Beverages, Alcohol & Tobacco"
304,Parsons,"Pasadena, California",California,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
305,Parker-Hannifin,"Cleveland, Ohio",Ohio,company,"Engineering, Manufacturing"
306,Independence Blue Cross,"Philadelphia, Pennsylvania",Pennsylvania,company,Insurance
307,Government Employee's Insurance Company,"Chevy Chase, Maryland",Maryland,company,Insurance
308,Royal Caribbean Cruises,"Miami, Florida",Florida,company,Travel & Leisure
309,Builders FirstSource,"Dallas, Texas",Texas,company,"Engineering, Manufacturing"
310,Eaton,"Cleveland, Ohio",Ohio,company,"Engineering, Manufacturing"
311,CACI International,"Arlington, Virginia",Virginia,company,Aerospace & Defense
312,Baxter International,"Deerfield, Illinois",Illinois,company,Drugs & Biotechnology
313,ZF Group,"Northville, Michigan",Michigan,company,Automotive (Automotive and Suppliers)
314,Paychex,"Rochester, New York",New York,company,Business Services & Supplies
315,State of Michigan,"Lansing, Michigan",Michigan,company,Government Services
316,ConocoPhillips,"Houston, Texas",Texas,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
317,Epic,"Verona, Wisconsin",Wisconsin,company,"IT, Internet, Software & Services"
318,State of Minnesota,"Saint Paul, Minnesota",Minnesota,company,Government Services
319,FedEx,"Memphis, Tennessee",Tennessee,company,Transportation and Logistics
320,Aerojet Rocketdyne,"Rancho Cordova, California",California,company,Aerospace & Defense
321,Phillips 66,"Wilmington, Delaware",Delaware,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
322,Novartis,"East Hanover, New Jersey",New Jersey,company,Drugs & Biotechnology
323,Marsh & McLennan,"New York, New York",New York,company,Professional Services
324,Amazon.com,"Seattle, Washington",Washington,company,Retail and Wholesale
325,Lionbridge Technologies,"Waltham, Massachusetts",Massachusetts,company,Business Services & Supplies
326,Cognizant,"Teaneck, New Jersey",New Jersey,company,"IT, Internet, Software & Services"
327,Leidos,"Reston, Virginia",Virginia,company,"IT, Internet, Software & Services"
328,Teledyne Technologies,"Thousand Oaks, California",California,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
329,East Penn Manufacturing,"Lyon Station, Pennsylvania",Pennsylvania,company,Automotive (Automotive and Suppliers)
330,Ace Hardware,"Oak Brook, Illinois",Illinois,company,Retail and Wholesale
331,Suddenlink,"St. Louis, Missouri",Missouri,company,"Telecommunications Services, Cable Supplier"
332,Continental,"Fort Mill, South Carolina",South Carolina,company,Automotive (Automotive and Suppliers)
333,PricewaterhouseCoopers,"New York, New York",New York,company,Professional Services
334,Merck,"Kenilworth, New Jersey",New Jersey,company,Drugs & Biotechnology
335,Nationwide Mutual Insurance,"Columbus, Ohio",Ohio,company,Insurance
336,Samsung Electronics,"Ridgefield Park, New Jersey",New Jersey,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
337,State of Utah,"Salt Lake City, Utah",Utah,company,Government Services
338,FIS,"Jacksonville, Florida",Florida,company,Banking and Financial Services
339,Bristol-Myers Squibb,"New York, New York",New York,company,Drugs & Biotechnology
340,Big Y World Class Market,"Springfield, Massachusetts",Massachusetts,company,Retail and Wholesale
341,Turner Broadcasting System,"Atlanta, Georgia",Georgia,company,Media & Advertising
342,Adidas,"Portland, Oregon",Oregon,company,"Clothing, Shoes, Sports Equipment"
343,LVMH Moet Hennessy Louis Vuitton,NA,NA,company,"Clothing, Shoes, Sports Equipment"
344,State Farm,"Bloomington, Illinois",Illinois,company,Insurance
345,The Wonderful Company,"Los Angeles, California",California,company,"Food, Soft Beverages, Alcohol & Tobacco"
346,BMW Group,"Woodcliff Lake, New Jersey",New Jersey,company,Automotive (Automotive and Suppliers)
347,Progressive,"Mayfield Village, Ohio",Ohio,company,Insurance
348,Sony,"New York, New York",New York,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
349,Pfizer,"New York, New York",New York,company,Drugs & Biotechnology
350,Owens Corning,"Toledo, Ohio",Ohio,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
351,Humana,"Louisville, Kentucky",Kentucky,company,Insurance
352,IBM,"Armonk, New York",New York,company,"IT, Internet, Software & Services"
353,Agilent Technologies,"Santa Clara, California",California,company,Health Care Equipment & Services
354,PPD,"Wilmington, North Carolina",North Carolina,company,Drugs & Biotechnology
355,Professional Educational Services Group,"Caledonia, Michigan",Michigan,company,Business Services & Supplies
356,Graybar Electric,"St. Louis, Missouri",Missouri,company,Business Services & Supplies
357,County of Sacramento,"Sacramento, California",California,company,Government Services
358,PayPal,"San Jose, California",California,company,"IT, Internet, Software & Services"
359,Gordon Food Service,"Wyoming, Michigan",Michigan,company,Retail and Wholesale
360,Cushman & Wakefield,"Chicago, Illinois",Illinois,company,Business Services & Supplies
361,Jason's Deli,"Beaumont, Texas",Texas,company,Restaurants
362,Hunter Douglas,"Pearl River, New York",New York,company,"Engineering, Manufacturing"
363,Los Angeles County Sheriff's Department,"Los Angeles, California",California,company,Government Services
364,First American,"Santa Ana, California",California,company,Insurance
365,Wynn Resorts,"Las Vegas, Nevada",Nevada,company,Travel & Leisure
366,Archer Daniels Midland,"Chicago, Illinois",Illinois,company,"Food, Soft Beverages, Alcohol & Tobacco"
367,Ferguson Enterprises,"Newport News, Virginia",Virginia,company,Retail and Wholesale
368,"NVR (Ryan Homes, NVHomes, FoxRidge Homes, Heartland Homes)","Reston, Virginia",Virginia,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
369,SCANA,"Cayce, South Carolina",South Carolina,company,Utilities
370,The Hartford,"Hartford, Connecticut",Connecticut,company,Insurance
371,Salt Lake County,"Salt Lake City, Utah",Utah,company,Government Services
372,Ryder System,"Miami, Florida",Florida,company,Transportation and Logistics
373,Globalfoundries,"Santa Clara, California",California,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
374,Carnival,"Miami, Florida",Florida,company,Travel & Leisure
375,Flowserve,"Irving, Texas",Texas,company,"Engineering, Manufacturing"
376,R+L Carriers,"Ocala, Florida",Florida,company,Transportation and Logistics
377,Sikorsky,"Stratford, Connecticut",Connecticut,company,Aerospace & Defense
378,State of Indiana,"Indianapolis, Indiana",Indiana,company,Government Services
379,Allianz,"Chicago, Illinois",Illinois,company,Insurance
380,Shoe Carnival,"Evansville, Indiana",Indiana,company,"Clothing, Shoes, Sports Equipment"
381,BorgWarner,"Auburn Hills, Michigan",Michigan,company,Automotive (Automotive and Suppliers)
382,Union Pacific,"Omaha, Nebraska",Nebraska,company,Transportation and Logistics
383,Capital One Financial,"McLean, Virginia",Virginia,company,Banking and Financial Services
384,Nissan Motor,"Smyrna, Tennessee",Tennessee,company,Automotive (Automotive and Suppliers)
385,CBS,"New York, New York",New York,company,Media & Advertising
386,JPMorgan Chase,"New York, New York",New York,company,Banking and Financial Services
387,CenterPoint Energy,"Houston, Texas",Texas,company,Utilities
388,ARRIS,"Suwanee, Georgia",Georgia,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
389,Raley's,"Sacramento, California",California,company,Retail and Wholesale
390,Iron Mountain,"Boston, Massachusetts",Massachusetts,company,Business Services & Supplies
391,Intercontinental Hotels Group,"Salt Lake City, Utah",Utah,company,Travel & Leisure
392,Battelle Memorial Institute,"Columbus, Ohio",Ohio,company,Professional Services
393,The Estée Lauder Companies,"New York, New York",New York,company,Packaged Goods
394,Fiat Chrysler Automobiles,"Auburn Hills, Michigan",Michigan,company,Automotive (Automotive and Suppliers)
395,Whirlpool,"Benton Harbor, Michigan",Michigan,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
396,Anheuser-Busch InBev,"St. Louis, Missouri",Missouri,company,"Food, Soft Beverages, Alcohol & Tobacco"
397,Wolters Kluwer,Alphen aan den Rijn,NA,company,Professional Services
398,Bashas',"Chandler, Arizona",Arizona,company,Retail and Wholesale
399,McCormick,"Sparks, Maryland",Maryland,company,"Food, Soft Beverages, Alcohol & Tobacco"
400,Fred Meyer,"Portland, Oregon",Oregon,company,Retail and Wholesale
401,Symantec,"Mountain View, California",California,company,"IT, Internet, Software & Services"
402,CSRA,"Falls Church, Virginia",Virginia,company,Business Services & Supplies
403,Pella,"Pella, Iowa",Iowa,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
404,MassMutual,"Springfield, Massachusetts",Massachusetts,company,Insurance
405,Mohawk Industries,"Calhoun, Georgia",Georgia,company,"Engineering, Manufacturing"
406,PAE,"Arlington, Virginia",Virginia,company,Business Services & Supplies
407,Deere & Company,"Moline, Illinois",Illinois,company,Automotive (Automotive and Suppliers)
408,National Grid USA,"Waltham, Massachusetts",Massachusetts,company,Utilities
409,Department of Commerce,"Washington, District of Columbia",District of Columbia,company,Government Services
410,Voya Financial,"New York, New York",New York,company,Banking and Financial Services
411,NTT Data,"Plano, Texas",Texas,company,"IT, Internet, Software & Services"
412,PepsiCo,"Purchase, New York",New York,company,"Food, Soft Beverages, Alcohol & Tobacco"
413,Pima County,"Tucson, Arizona",Arizona,company,Government Services
414,United Rentals,"Stamford, Connecticut",Connecticut,company,Business Services & Supplies
415,Anthropologie,"Kinzers, Pennsylvania",Pennsylvania,company,"Clothing, Shoes, Sports Equipment"
416,BRAVO BRIO Restaurant Group,"Columbus, Ohio",Ohio,company,Restaurants
417,United Parcel Service,"Atlanta, Georgia",Georgia,company,Transportation and Logistics
418,Travelers,"New York, New York",New York,company,Insurance
419,Nucor,"Charlotte, North Carolina",North Carolina,company,"Engineering, Manufacturing"
420,Microchip Technology,"Chandler, Arizona",Arizona,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
421,FirstEnergy,"Akron, Ohio",Ohio,company,Utilities
422,Faurecia,"Auburn Hills, Michigan",Michigan,company,Automotive (Automotive and Suppliers)
423,KPMG,"New York, New York",New York,company,Professional Services
424,The Cheesecake Factory,"Calabasas Hills, California",California,company,Restaurants
425,Bemis,"Neenah, Wisconsin",Wisconsin,company,"Engineering, Manufacturing"
426,Topgolf,"Dallas, Texas",Texas,company,Travel & Leisure
427,Chuy's,"Austin, Texas",Texas,company,Restaurants
428,LensCrafters,"Mason, Ohio",Ohio,company,"Clothing, Shoes, Sports Equipment"
429,Micron Technology,"Boise, Idaho",Idaho,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
430,TSYS,"Columbus, Georgia",Georgia,company,Business Services & Supplies
431,Change Healthcare,"Nashville, Tennessee",Tennessee,company,Health Care Equipment & Services
432,Chick-fil-A,"Atlanta, Georgia",Georgia,company,Restaurants
433,Ernst & Young,"New York, New York",New York,company,Professional Services
434,Snyder's-Lance,"Charlotte, North Carolina",North Carolina,company,"Food, Soft Beverages, Alcohol & Tobacco"
435,PG&E (Pacific Gas and Electric),"San Francisco, California",California,company,Utilities
436,Berkshire Hathaway Energy,"Des Moines, Iowa",Iowa,company,Utilities
437,Kelly Services,"Troy, Michigan",Michigan,company,Business Services & Supplies
438,Gildan,NA,NA,company,"Clothing, Shoes, Sports Equipment"
439,Bosch,Stuttgart,NA,company,"Engineering, Manufacturing"
440,Shaw Industries,"Dalton, Georgia",Georgia,company,"Engineering, Manufacturing"
441,TJX Companies,"Framingham, Massachusetts",Massachusetts,company,"Clothing, Shoes, Sports Equipment"
442,Mary Kay,"Addison, Texas",Texas,company,Packaged Goods
443,Henkel,"Rocky Hill, Connecticut",Connecticut,company,Packaged Goods
444,Stantec,Edmonton,NA,company,Professional Services
445,GlaxoSmithKline,"Philadelphia, Pennsylvania",Pennsylvania,company,Drugs & Biotechnology
446,Masco,"Livonia, Michigan",Michigan,company,"Engineering, Manufacturing"
447,Colliers International,"Seattle, Washington",Washington,company,Business Services & Supplies
448,Thermo Fisher Scientific,"Waltham, Massachusetts",Massachusetts,company,Drugs & Biotechnology
449,Booz Allen Hamilton,"McLean, Virginia",Virginia,company,Professional Services
450,McLane Company,"Temple, Texas",Texas,company,Transportation and Logistics
451,Novo Nordisk,"Plainsboro, New Jersey",New Jersey,company,Drugs & Biotechnology
452,DSW Designer Shoe Warehouse,"Columbus, Ohio",Ohio,company,"Clothing, Shoes, Sports Equipment"
453,Polaris Industries,"Minneapolis, Minnesota",Minnesota,company,Automotive (Automotive and Suppliers)
454,Medline Industries,"Northfield, Illinois",Illinois,company,Health Care Equipment & Services
455,Subaru-Indiana Automotive,"Lafayette, Indiana",Indiana,company,Automotive (Automotive and Suppliers)
456,Ball,"Broomfield, Colorado",Colorado,company,Aerospace & Defense
457,Las Vegas Sands,"Las Vegas, Nevada",Nevada,company,Travel & Leisure
458,American Axle & Manufacturing,"Detroit, Michigan",Michigan,company,Automotive (Automotive and Suppliers)
459,New Jersey Transit,"Newark, New Jersey",New Jersey,company,Transportation and Logistics
460,Henry Schein,"Melville, New York",New York,company,Health Care Equipment & Services
461,Cintas,"Cincinnati, Ohio",Ohio,company,Business Services & Supplies
462,Automatic Data Processing,"Roseland, New Jersey",New Jersey,company,Business Services & Supplies
463,Regal Entertainment Group,"Knoxville, Tennessee",Tennessee,company,Travel & Leisure
464,Ascena Retail Group,"Mahwah, New Jersey",New Jersey,company,"Clothing, Shoes, Sports Equipment"
465,BlueCross & BlueShield of South Carolina,"Columbia, South Carolina",South Carolina,company,Insurance
466,Philips,"Andover, Massachusetts",Massachusetts,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
467,Academy Sports + Outdoors,"Katy, Texas",Texas,company,"Clothing, Shoes, Sports Equipment"
468,Steelcase,"Grand Rapids, Michigan",Michigan,company,"Engineering, Manufacturing"
469,US Foods,"Rosemont, Illinois",Illinois,company,"Food, Soft Beverages, Alcohol & Tobacco"
470,Match Marketing Group,"Norwalk, Connecticut",Connecticut,company,Media & Advertising
471,Illinois Tool Works,"Glenview, Illinois",Illinois,company,"Engineering, Manufacturing"
472,Spirit Aero Systems,"Wichita, Kansas",Kansas,company,Aerospace & Defense
473,RSM US,"Chicago, Illinois",Illinois,company,Professional Services
474,Entergy,"New Orleans, Louisiana",Louisiana,company,Utilities
475,Estes Express Line,"Richmond, Virginia",Virginia,company,Transportation and Logistics
476,Bombardier,Montr&#233;al,NA,company,Aerospace & Defense
477,PSAV,"Schiller Park, Illinois",Illinois,company,Business Services & Supplies
478,Spirit Halloween,"Egg Harbor Township, New Jersey",New Jersey,company,"Clothing, Shoes, Sports Equipment"
479,Mattel,"El Segundo, California",California,company,Packaged Goods
480,Hershey Entertainment and Resorts,"Hershey, Pennsylvania",Pennsylvania,company,Travel & Leisure
481,SeaWorld Parks & Entertainment,"Orlando, Florida",Florida,company,Travel & Leisure
482,Red Robin Gourmet Burgers,"Village, Colorado",Colorado,company,Restaurants
483,Amway,"Ada, Michigan",Michigan,company,Packaged Goods
484,Dairy Farmers of America,"Kansas City, Kansas",Kansas,company,"Food, Soft Beverages, Alcohol & Tobacco"
485,Dr Pepper Snapple Group,"Plano, Texas",Texas,company,"Food, Soft Beverages, Alcohol & Tobacco"
486,Kraft Heinz Company,"Chicago, Illinois",Illinois,company,"Food, Soft Beverages, Alcohol & Tobacco"
487,Southeastern Freight Lines,"Lexington, South Carolina",South Carolina,company,Transportation and Logistics
488,Liberty Mutual Insurance,"Boston, Massachusetts",Massachusetts,company,Insurance
489,J.B. Hunt Transport Services,"Lowell, Arkansas",Arkansas,company,Transportation and Logistics
490,American Greetings,"Cleveland, Ohio",Ohio,company,Packaged Goods
491,BlueCross & BlueShield of Tennessee,"Chattanooga, Tennessee",Tennessee,company,Insurance
492,The Coffee Bean & Tea Leaf,"Los Angeles, California",California,company,"Food, Soft Beverages, Alcohol & Tobacco"
493,Vail Resorts,"Broomfield, Colorado",Colorado,company,Travel & Leisure
494,Kuehne + Nagel,Schindellegi,NA,company,Transportation and Logistics
495,Textron,"Providence, Rhode Island",Rhode Island,company,Aerospace & Defense
496,Five Guys Burgers and Fries,"Lorton, Virginia",Virginia,company,Restaurants
497,Carlson,"Hopkins, Minnesota",Minnesota,company,Travel & Leisure
498,Puma,"Westford, Massachusetts",Massachusetts,company,"Clothing, Shoes, Sports Equipment"
499,Cooper Tire & Rubber,"Findlay, Ohio",Ohio,company,Automotive (Automotive and Suppliers)
500,Quest Diagnostics,"Secaucus, New Jersey",New Jersey,company,Health Care Equipment & Services
